Position,TimeStamp
Sit,2023-01-22 14:35:13.847564
Sit,2023-01-22 14:42:09.614801
Sit,2023-01-22 14:42:13.163379
Sit,2023-01-22 14:42:14.146172
Sit,2023-01-22 14:42:14.845087
Sit,2023-01-22 14:42:16.645690
Start,2023-01-23 19:32:03.539003
Sit,2023-01-23 19:32:10.009779
Stand,2023-01-23 19:32:11.414374
Sit,2023-01-23 19:32:13.007956
End,2023-01-23 19:32:14.895561
Start,2023-01-23 19:44:53.546363
End,2023-01-23 19:45:09.380161
Start,2023-01-23 19:45:13.719119
End,2023-01-23 19:45:25.203079
Start,2023-01-23 19:45:39.525541
End,2023-01-23 19:45:53.124063
Start,2023-01-23 19:46:06.894166
Start,2023-01-23 19:47:05.060935
End,2023-01-23 19:47:09.631454
Start,2023-01-23 19:48:34.372553
End,2023-01-23 19:48:56.629559
Start,2023-01-23 19:49:24.519501
Stand,2023-01-23 19:49:30.708929
Stand,2023-01-23 19:49:34.928426
End,2023-01-23 19:49:43.386869
Start,2023-01-23 21:12:29.851755
End,2023-01-23 21:12:45.491717
Start,2023-01-23 21:12:48.479842
Stand,2023-01-23 21:13:03.966768
End,2023-01-23 21:13:31.141166
Start,2023-01-23 21:17:14.309353
Stand,2023-01-23 21:17:16.926453
Sit,2023-01-23 21:17:19.220186
Stand,2023-01-23 21:17:22.454338
Sit,2023-01-23 21:17:24.147270
Stand,2023-01-23 21:17:27.822960
Sit,2023-01-23 21:17:32.788662
Stand,2023-01-23 21:17:37.968571
Sit,2023-01-23 21:17:46.927863
Stand,2023-01-23 21:18:41.549690
Sit,2023-01-23 21:18:42.809808
Stand,2023-01-23 21:18:43.696325
Sit,2023-01-23 21:18:56.584437
Sit,2023-01-23 21:19:23.355588
Stand,2023-01-23 21:19:24.342492
Sit,2023-01-23 21:19:27.512298
Start,2023-01-23 21:19:33.054146
End,2023-01-23 21:19:38.158975
Start,2023-01-23 21:21:04.104085
Stand,2023-01-23 21:21:13.206690
Stand,2023-01-23 21:21:16.170355
Sit,2023-01-23 21:21:19.496087
Stand,2023-01-23 21:21:24.454147
Stand,2023-01-23 21:21:32.720230
Start,2023-01-23 21:22:05.241980
Start,2023-01-23 21:22:32.367871
Stand,2023-01-23 21:22:34.693042
Sit,2023-01-23 21:22:39.879490
Stand,2023-01-23 21:22:40.965052
Sit,2023-01-23 21:22:43.372822
Stand,2023-01-23 21:22:44.311711
Sit,2023-01-23 21:22:46.062724
Stand,2023-01-23 21:22:47.048745
Sit,2023-01-23 21:22:48.143901
Stand,2023-01-23 21:22:48.977306
Sit,2023-01-23 21:22:49.835466
Stand,2023-01-23 21:22:50.605723
Sit,2023-01-23 21:22:52.417796
End,2023-01-23 21:22:53.670595
